method	samples	SNVs	clusters	coverage	seed	ARI	RI	dist	recall	precision	inferred_clusters
DECIFER	2	50	3	200	6	0.817266260639	0.914285714286	0.0125425	0.93119266055	0.844074844075	3
DECIFER	2	50	3	200	7	0.553001277139	0.764897959184	0.0175109	1.0	0.600554785021	2
DECIFER	2	50	3	200	8	1.0	1.0	0.00636008357143	1.0	1.0	4
DECIFER	2	50	3	200	9	1.0	1.0	0.00597533333333	1.0	1.0	3
DECIFER	2	100	4	200	1	0.709975988188	0.874545454545	0.0202339992857	1.0	0.659726027397	3
DECIFER	2	100	4	200	10	0.677194312796	0.878383838384	0.006421	0.771428571429	0.745856353591	4
DECIFER	2	100	4	200	11	0.795209045257	0.923636363636	0.007175375	0.855729596043	0.836422240129	4
DECIFER	2	100	4	200	12	0.868083638258	0.951313131313	0.010701	0.897689768977	0.902904564315	4
DECIFER	2	100	4	200	13	0.938475385332	0.976565656566	0.0122618375	0.948235294118	0.960285941223	4
DECIFER	2	100	4	200	14	0.902358658047	0.962828282828	0.007124875	0.921507064364	0.933227344992	4
DECIFER	2	100	4	200	15	0.929642105291	0.974141414141	0.0120813111111	0.937345424567	0.956265769554	5
DECIFER	2	100	4	200	16	0.787410797562	0.92	0.008302625	0.844911147011	0.8368	4
DECIFER	2	100	4	200	17	0.797502669283	0.915151515152	0.00665132857143	1.0	0.748050389922	3
DECIFER	2	100	4	200	18	0.79790638293	0.925454545455	0.009472125	0.847555923778	0.846854304636	4
DECIFER	2	100	4	200	19	0.961610229827	0.985858585859	0.0138139722222	0.959803117309	0.982367758186	5
DECIFER	2	100	4	200	2	0.654178803228	0.85797979798	0.003871125	0.848605577689	0.674904942966	4
DECIFER	2	100	4	200	20	0.803538230885	0.926464646465	0.007546125	0.846339501207	0.858775510204	4
DECIFER	2	100	4	200	3	0.720659459459	0.894545454545	0.0085547625	0.7912	0.7912	4
DECIFER	2	100	4	200	4	0.950583803424	0.981414141414	0.014235675	0.962992759453	0.962992759453	4
DECIFER	2	100	4	200	5	1.0	1.0	0.008779775	1.0	1.0	4
DECIFER	2	100	4	200	6	0.876519008485	0.951515151515	0.014819375	0.924254016832	0.89547813195	4
DECIFER	2	100	4	200	7	1.0	1.0	0.010062125	1.0	1.0	4
DECIFER	2	100	4	200	8	0.567384150528	0.833535353535	0.0109437125	0.705407586764	0.655663915979	4
DECIFER	2	100	4	200	9	0.791712153151	0.920808080808	0.013784375	0.869600651997	0.821401077752	4
DECIFER	2	500	4	200	1	0.973449608179	0.990124248497	0.017569816875	0.969246573144	0.991006662947	8
DECIFER	2	500	4	200	10	0.69752027619	0.886092184369	0.0038385	0.776587238126	0.770671322012	4
DECIFER	2	500	4	200	11	0.794414668923	0.922829659319	0.006071625	0.84747393745	0.844305253739	4
DECIFER	2	500	4	200	12	0.907786389591	0.965210420842	0.00531775	0.934226048143	0.927895120175	4
DECIFER	2	500	4	200	13	0.694547200245	0.881859719439	0.00634307222222	0.797705352077	0.752587129773	5
DECIFER	2	500	4	200	14	0.983183468848	0.993699398798	0.002872125	0.987286911297	0.987477121665	4
DECIFER	2	500	4	200	15	0.989387919679	0.996032064128	0.0122624888889	0.992237075213	0.99182175285	5
DECIFER	2	500	4	200	16	0.813032031026	0.92970741483	0.004667875	0.861673867819	0.858240357029	4
DECIFER	2	500	4	200	17	0.737190906189	0.899310621242	0.00881055	0.827692995339	0.783493003717	4
DECIFER	2	500	4	200	18	0.901307528041	0.963006012024	0.005604125	0.929079612401	0.922870299309	4
DECIFER	2	500	4	200	19	0.977723554476	0.991631262525	0.0030187125	0.984094473069	0.982522286481	4
DECIFER	2	500	4	200	2	0.706682824015	0.888224448898	0.003505125	0.804698830127	0.760021915807	4
DECIFER	2	500	4	200	20	0.883335901623	0.95549498998	0.003453125	0.918864543711	0.907735784603	4
DECIFER	2	500	4	200	3	0.714541155632	0.893106212425	0.00787849444444	0.787612329694	0.783900750144	5
DECIFER	2	500	4	200	4	0.955253171701	0.98326252505	0.005392575	0.966272970103	0.96652180911	4
DECIFER	2	500	4	200	5	0.986619028132	0.994981963928	0.01796945	0.987463221185	0.992478302797	8
DECIFER	2	500	4	200	6	0.917367431702	0.969074148297	0.00314325	0.937873818252	0.938054805095	4
DECIFER	2	500	4	200	7	0.856181171762	0.946164328657	0.005342	0.891666934473	0.892412595285	4
DECIFER	2	500	4	200	8	0.632803311401	0.858557114228	0.0143450888889	0.754331110615	0.703912111468	5
DECIFER	2	500	4	200	9	0.861564979657	0.947975951904	0.008473375	0.901904026759	0.890731211486	4
DECIFER	2	50	4	200	1	0.891727259117	0.96	0.006439413125	0.925925925926	0.91059602649	4
DECIFER	2	50	4	200	10	0.702762396566	0.872653061224	0.0128167857143	1.0	0.650224215247	3
DECIFER	2	50	4	200	11	0.723931698015	0.883265306122	0.0240455	1.0	0.66974595843	3
DECIFER	2	50	4	200	12	0.833898305085	0.938775510204	0.013338625	0.878787878788	0.87	4
DECIFER	2	50	4	200	13	0.745784597506	0.889795918367	0.0191816142857	0.948948948949	0.728110599078	3
DECIFER	2	50	4	200	14	0.941819683031	0.978775510204	0.014707375	0.949324324324	0.962328767123	4
DECIFER	2	50	4	200	15	0.937775971729	0.977142857143	0.022496075	0.94966442953	0.956081081081	4
